S,B,is_validation,oom,latency,device_time,memory,energy,power
32,1,False,False,0.0006601039995075553,0.0006349440217018128,18763776,0.019872742906283977,54.092615467811946
32,2,False,False,0.00044805100060330005,0.00041555199027061465,18874368,0.02228335112060057,60.092741452104576
32,4,False,False,0.00044236000030650757,0.000411871999502182,19095552,0.02699862107004887,57.51154346681348
32,8,False,False,0.0005857569994986989,0.00054339200258255,19537920,0.028849320241695977,57.338642501500736
32,16,False,False,0.0004564600003504893,0.0004341759979724884,14843904,0.026076634975516277,72.17597629620379
32,32,False,False,0.0006254460004129214,0.0006017600297927857,15958016,0.03724796590468341,68.38423078626415
32,64,False,False,0.000879591999364493,0.0008514879941940308,18448384,0.057799037947617614,69.08010307525984
32,111,True,False,0.0019930764997297956,0.0019159040451049805,53959168,0.14191271347248666,70.16314276955687
32,128,False,False,0.002266004999910365,0.0022365760803222654,60129280,0.1524795486600541,67.61713778311558
32,133,True,False,0.002353966000555374,0.002162240028381348,62390272,0.1597750000000387,67.33128648047636
32,139,True,False,0.003982743999586091,0.002100064039230347,63406592,0.16044907407410425,66.64349851473109
32,256,False,False,0.004874158000347961,0.0038533759117126464,103669760,0.2808973105134178,67.26487669845781
64,1,False,False,0.00047476300005655503,0.00044966399669647215,23207936,0.027714672992203586,70.9865492163336
64,2,False,False,0.0004938369993396918,0.00047302401065826415,23773184,0.027574191397134705,69.160339766093
64,4,False,False,0.0005118600001878804,0.0004896000027656555,24903680,0.02942795911638795,69.66453415299706
64,8,False,False,0.0004847089994655107,0.0004628159999847412,17793536,0.027146542457901563,66.77087421084825
64,16,False,False,0.0005788030002804589,0.0005573760271072388,19497472,0.03530007390982898,66.77220009095679
64,32,False,False,0.0009386570000060601,0.0009156799912452698,23429120,0.06014650059310642,67.55157680160501
64,64,False,False,0.0015817399998923065,0.0015320639610290527,32210944,0.10052276707532443,65.80886026609839
64,111,True,False,0.004256326999893645,0.004193103790283204,68098560,0.286957671957675,67.1551984161059
64,128,False,False,0.004805569000382093,0.00476643180847168,76644352,0.33229357798166204,68.65624507875569
64,133,True,False,0.005094644000109838,0.005057984113693237,79642624,0.3415314465408461,67.61694665701414
64,139,True,False,0.005141085499872133,0.0051078879833221435,83100160,0.3506419354838492,68.2228441414735
64,256,False,False,0.00903742649961714,0.008987599849700928,138272768,0.5735783132530555,63.704350665738914
80,1,True,False,0.00047726600041642087,0.00045545598864555356,23290880,0.029245539177653036,60.39886192343504
80,2,True,False,0.0006417190006686724,0.0006100479960441589,23939072,0.03805320435308484,65.65436486392909
80,4,True,False,0.0008271959995909128,0.0007741439938545227,25235456,0.03243636363636407,68.6421992775632
80,8,True,False,0.0005475349998960155,0.0005263360142707824,18752000,0.034943248532289174,71.84502408355027
80,16,True,False,0.0008531510002285358,0.000830847978591919,20692992,0.055411860718160906,67.78982307919938
80,32,True,False,0.001306520000071032,0.0012799999713897705,28377088,0.08224518888097931,66.07051914988854
80,64,True,False,0.002386661999480566,0.0023587520122528077,41582592,0.16364621968618387,69.25326517395196
80,111,True,False,0.006906739500209369,0.0068699998855590826,79556096,0.4791718061673886,68.61963861969458
80,128,True,False,0.007741039999928034,0.0076697921752929684,90669056,0.5118894472360803,65.50231585787557
80,133,True,False,0.008404617000451253,0.008340959548950195,93150208,0.5486236559139485,65.88813485679387
80,139,True,False,0.00850258699938422,0.00846998405456543,96527872,0.5872903225806689,69.3263429985844
80,256,True,False,0.014756444000340707,0.014702591896057129,223707136,1.002254901960887,68.22025339966021
128,1,False,False,0.0006125830004748423,0.0005901119709014892,24068096,0.0352608476286665,67.78061030586953
128,2,False,False,0.00047480600005656015,0.00044572800397872924,17794048,0.029678450660935603,72.54410454671843
128,4,False,False,0.0005755920001320192,0.0005550079941749573,19497984,0.036403954802256513,68.69735692120904
128,8,False,False,0.000974978000158444,0.0009397439956665039,23429120,0.06310944700460253,69.26993136099176
128,16,False,False,0.0015081290002854075,0.001460800051689148,32210944,0.0995428571428396,67.98822742787777
128,32,False,False,0.0028237800001988944,0.002795520067214966,49381376,0.18900309597521742,68.24183528801917
128,64,False,False,0.005195954000555503,0.00515718412399292,119316480,0.34669108280256183,67.24572956602326
128,111,True,False,0.013070439000330225,0.013011136054992677,196878336,0.8741623931624091,65.9389581601094
128,128,False,False,0.014884356000038679,0.014834271907806396,223518720,1.0195900000000255,67.73768787883782
128,133,True,False,0.01593853600024886,0.01586176013946533,243171328,1.0867021276595126,67.1826908534142
128,139,True,False,0.01656334249992142,0.016483856201171876,246710272,1.1286999999998242,67.86698578002876
128,256,False,False,0.02993036200041388,0.02988044738769531,431923200,2.0830000000002045,69.58787935040385
208,1,True,False,0.0005328249999365653,0.0005093439817428589,18340352,0.030211453744483478,68.15462487374076
208,2,True,False,0.0007170059998315992,0.0006963199973106384,21564928,0.04590467625899469,68.54646509072198
208,4,True,False,0.0011520629996084608,0.0011263999938964844,26591232,0.07712226415094743,69.08861287150927
208,8,True,False,0.0021131109997440944,0.002086911916732788,38076416,0.1396322815533989,67.47578687801366
208,16,True,False,0.003951439499815024,0.0038879040479660033,61718528,0.2684026548672551,69.42792318393207
208,32,True,False,0.006561682000210567,0.006510528087615966,140795904,0.4181393442623466,64.71378187345128
208,64,True,False,0.01258759900019868,0.012541775703430177,265650176,0.8516578947369055,67.94919611984163
208,111,True,False,0.03282232000037766,0.03275860786437988,450415616,2.258599999999731,67.32409918787916
208,128,True,False,0.037315535999823624,0.037247776031494144,514170880,2.5400500000003374,67.39838127508484
208,133,True,False,0.04050467999968532,0.040443870544433595,559153152,2.734621621621143,67.79994224448428
208,139,True,False,0.041612957999859645,0.041543678283691404,568402944,2.7078571428569767,64.63987995136073
208,256,True,False,0.0789778580001439,0.07892745971679688,1013284864,5.370736842104969,68.28608733729762
224,1,False,False,0.0005846390004080604,0.0005614719986915588,18699776,0.03490382387022367,69.44492538804595
224,2,False,False,0.000750538999454875,0.0007285760045051575,21308928,0.049786336542871415,70.02651459716533
224,4,False,False,0.001250680999874021,0.0012206079959869384,28131328,0.08208320726172132,67.72365471101602
224,8,False,False,0.002363171000069997,0.002335968017578125,41025536,0.15987779237847022,69.4940503675528
224,16,False,False,0.004408279000017501,0.004380671977996826,68321280,0.2972916666666758,69.1439537293509
224,32,False,False,0.00792100250009753,0.007848015785217285,174673920,0.5441333333333936,69.05894808232685
