S,B,layer,kernel,us
32,8,conv3,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",77.10189999999997
32,8,conv4,aten::cudnn_convolution,22.981600000000025
32,8,conv4,Activity Buffer Request,2.3070999999999913
32,8,conv4,"void cudnn::cnn::kern_precompute_indices<false>(int*, int, int, int, int, int)",2.825599999999986
32,8,conv4,"void precomputed_convolve_sgemm<float, 1024, 5, 5, 4, 3, 3, 1, false>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, float const*, float const*, int*)",20.15600000000004
32,8,conv5,aten::cudnn_convolution,292.1924000000001
32,8,conv5,Activity Buffer Request,31.1318
32,8,conv5,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",292.1924000000001
32,8,conv6,aten::cudnn_convolution,37.19889999999996
32,8,conv6,Activity Buffer Request,3.9742999999999937
32,8,conv6,"void cudnn::cnn::kern_precompute_indices<false>(int*, int, int, int, int, int)",3.123099999999977
32,8,conv6,"void precomputed_convolve_sgemm<float, 1024, 5, 5, 4, 3, 3, 1, false>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, bool, bool, float const*, float const*, int*)",34.07579999999998
32,8,pool2,aten::mean,5.788799999999992
32,8,pool2,Activity Buffer Request,0.5791999999999916
32,8,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",5.788799999999992
32,8,fc1,aten::addmm,14.025200000000074
32,8,fc1,Activity Buffer Request,1.3726999999999976
32,8,fc1,"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",14.025200000000074
32,8,relu,aten::clamp_min_,3.0783999999999425
32,8,relu,Activity Buffer Request,0.3039999999999964
32,8,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.0783999999999425
32,8,fc2,aten::addmm,8.361500000000058
32,8,fc2,Activity Buffer Request,0.832000000000005
32,8,fc2,"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",8.361500000000058
32,64,conv1,aten::cudnn_convolution,107.97349999999999
32,64,conv1,Activity Buffer Request,10.889100000000008
32,64,conv1,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.5997999999999593
32,64,conv1,_5x_cudnn_volta_scudnn_128x32_relu_medium_nn_v1,104.37370000000003
32,64,pool1,aten::max_pool2d_with_indices,28.223099999999977
32,64,pool1,Activity Buffer Request,3.119900000000007
32,64,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",28.223099999999977
32,64,conv2,aten::cudnn_convolution,226.85050000000015
32,64,conv2,Activity Buffer Request,22.796100000000013
32,64,conv2,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.596800000000087
32,64,conv2,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,223.25370000000004
32,64,conv3,aten::cudnn_convolution,166.64880000000005
32,64,conv3,Activity Buffer Request,16.712800000000016
32,64,conv3,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.590200000000027
32,64,conv3,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,163.0586
32,64,conv4,aten::cudnn_convolution,54.23160000000005
32,64,conv4,Activity Buffer Request,5.506900000000019
32,64,conv4,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.468700000000035
32,64,conv4,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,50.762900000000016
32,64,conv5,aten::cudnn_convolution,515.8762000000002
32,64,conv5,Activity Buffer Request,51.67179999999998
32,64,conv5,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, bool, int, int)",515.8762000000002
32,64,conv6,aten::cudnn_convolution,439.76279999999997
32,64,conv6,Activity Buffer Request,44.12319999999998
32,64,conv6,volta_sgemm_64x64_nn,439.76279999999997
32,64,pool2,aten::mean,14.738600000000087
32,64,pool2,Activity Buffer Request,1.487900000000036
32,64,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",14.738600000000087
32,64,fc1,aten::addmm,28.7541999999999
32,64,fc1,Activity Buffer Request,3.0110999999999875
32,64,fc1,volta_sgemm_64x32_sliced1x4_tn,23.586400000000005
32,64,fc1,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",5.167799999999898
32,64,relu,aten::clamp_min_,3.158400000000017
32,64,relu,Activity Buffer Request,0.3135999999999967
32,64,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.158400000000017
32,64,fc2,aten::addmm,21.60889999999997
32,64,fc2,Activity Buffer Request,2.163099999999986
32,64,fc2,volta_sgemm_32x32_sliced1x4_tn,21.60889999999997
32,111,conv1,aten::cudnn_convolution,1475.9445000000007
32,111,conv1,Activity Buffer Request,142.51700000000005
32,111,conv1,"void fft2d_r2c_32x32<float, false, 1u, true>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",27.56390000000024
32,111,conv1,"void fft2d_r2c_32x32<float, false, 0u, false>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",159.46680000000023
32,111,conv1,volta_gcgemm_32x32_nt,635.3422000000002
32,111,conv1,"void fft2d_c2r_32x32<float, true, false, 0u, false, false>(float*, float2 const*, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, cudnnActivationStruct, int, int)",653.5716
32,111,pool1,aten::max_pool2d_with_indices,51.143800000000034
32,111,pool1,Activity Buffer Request,4.9342000000000095
32,111,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",51.143800000000034
32,111,conv2,aten::cudnn_convolution,401.84560000000016
32,111,conv2,Activity Buffer Request,40.264300000000006
32,111,conv2,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.5967000000001463
32,111,conv2,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,398.2489
32,111,conv3,aten::cudnn_convolution,173.40270000000018
32,111,conv3,Activity Buffer Request,17.4395
32,111,conv3,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.5967000000001463
32,111,conv3,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,169.80600000000004
32,111,conv4,aten::cudnn_convolution,84.78469999999996
32,111,conv4,Activity Buffer Request,8.534100000000013
32,111,conv4,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.4686999999999673
32,111,conv4,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,81.31599999999999
32,111,conv5,aten::cudnn_convolution,633.1558000000001
32,111,conv5,Activity Buffer Request,63.217000000000006
32,111,conv5,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.255999999999949
32,111,conv5,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,628.8998000000003
32,111,conv6,aten::cudnn_convolution,741.921
32,111,conv6,Activity Buffer Request,74.3368
32,111,conv6,volta_sgemm_64x64_nn,741.921
32,111,pool2,aten::mean,21.994999999999983
32,111,pool2,Activity Buffer Request,2.2270999999999956
32,111,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",21.994999999999983
32,111,fc1,aten::addmm,38.54919999999997
32,111,fc1,Activity Buffer Request,4.0254999999999885
32,111,fc1,volta_sgemm_128x32_tn,32.69960000000001
32,111,fc1,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",5.849599999999964
32,111,relu,aten::clamp_min_,3.644700000000012
32,111,relu,Activity Buffer Request,0.36159999999999853
32,111,relu,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",3.644700000000012
32,111,fc2,aten::addmm,20.616999999999916
32,111,fc2,Activity Buffer Request,2.07349999999999
32,111,fc2,volta_sgemm_128x32_tn,15.826599999999985
32,111,fc2,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",4.790399999999932
32,128,conv1,aten::cudnn_convolution,1548.7419
32,128,conv1,Activity Buffer Request,147.78990000000005
32,128,conv1,"void fft2d_r2c_32x32<float, false, 1u, true>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",27.48370000000018
32,128,conv1,"void fft2d_r2c_32x32<float, false, 0u, false>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",142.75010000000034
